Temperature,Humidity,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
30.4,71.0,89.0,31.9,15.3,1.74,6.7,314
24.1,68.0,4.7,25.2,8.5,1.18,11.3,580
46.4,102.3,21.2,35.9,15.2,2.91,6.0,776
34.0,86.5,58.1,59.3,9.6,3.37,4.3,909
38.0,70.6,117.5,32.4,7.0,2.4,4.1,477
30.3,76.3,20.7,38.4,17.2,1.61,3.6,726
39.4,75.2,145.2,46.8,34.7,2.5,6.1,794
24.6,78.6,12.4,23.1,4.4,0.98,10.1,501
24.3,67.0,4.1,22.2,3.3,0.86,10.9,530
30.9,49.5,5.5,20.1,3.5,0.93,11.0,237
24.1,67.6,8.9,10.8,4.4,0.96,12.4,480
25.6,51.5,40.7,32.2,-1.7,1.35,7.3,378
40.9,81.8,15.7,27.7,17.9,1.82,5.9,577
34.8,70.4,46.6,35.7,14.4,1.61,4.1,805
18.5,60.0,22.7,24.0,6.7,0.89,11.8,541
33.8,89.3,25.3,23.0,11.3,1.33,9.1,671
22.3,80.5,12.0,17.2,6.3,1.18,10.4,232
23.6,43.3,10.2,16.4,6.8,1.04,15.8,368
31.2,64.0,25.3,28.0,13.2,1.59,7.6,485
32.4,83.3,18.4,30.9,15.1,1.54,5.0,355
28.7,65.0,18.3,27.3,6.2,0.99,10.3,331
25.3,77.0,11.2,20.1,6.4,1.03,11.3,282
26.4,62.1,10.1,19.2,5.9,1.06,12.2,437
38.4,66.6,36.5,39.2,14.5,1.86,4.2,497
31.0,65.1,8.9,23.4,4.2,1.11,13.7,580
20.7,68.5,5.5,9.2,9.8,0.87,10.3,333
23.6,67.4,28.8,25.6,7.3,1.71,6.2,670
32.8,82.7,11.3,27.7,11.4,1.58,5.2,322
18.2,42.5,7.1,26.1,3.8,0.97,11.6,312
24.6,62.1,32.6,15.3,4.3,0.82,10.3,248
24.3,62.5,9.6,20.8,7.0,1.08,10.9,567
26.7,65.2,7.0,17.6,6.8,1.02,11.1,510
23.6,51.9,13.6,27.9,4.3,1.2,12.1,474
29.6,56.4,35.2,20.7,4.5,1.7,6.3,649
21.4,57.5,18.0,20.6,5.7,1.23,18.1,233
38.2,95.2,88.2,37.3,12.5,1.6,7.1,689
46.8,80.7,36.3,46.6,26.4,2.66,2.5,740
37.3,63.1,69.4,25.2,12.7,1.48,8.3,431
23.1,80.1,14.9,23.3,6.0,1.0,10.6,332
28.5,58.2,9.5,17.1,4.8,0.83,10.7,376
24.5,44.8,29.1,23.9,6.7,0.95,17.8,491
27.6,51.7,24.5,19.4,6.1,0.81,10.1,306
25.5,80.9,31.1,13.8,7.2,1.01,13.7,522
33.9,63.1,11.7,21.1,17.9,2.55,8.9,680
28.6,71.9,17.7,44.3,4.1,1.48,4.9,780
44.1,72.8,59.2,33.9,13.0,2.21,6.9,707
29.2,72.2,13.4,20.9,7.7,0.97,13.4,362
21.8,57.2,17.4,25.6,3.7,1.25,16.9,450
25.2,66.6,30.7,28.0,3.4,1.12,13.5,283
33.1,69.0,15.0,36.9,15.0,1.55,3.7,712
17.8,57.7,6.8,27.1,3.0,0.95,10.9,453
25.2,75.0,25.4,13.9,4.9,0.91,10.2,390
37.8,77.8,22.8,32.2,6.8,1.59,5.3,399
48.4,109.0,114.9,48.6,25.6,2.23,5.9,863
22.9,78.5,9.7,15.9,2.2,0.99,10.0,249
32.7,68.5,13.2,18.2,4.6,1.38,12.3,478
28.5,49.4,5.9,16.6,5.6,0.93,10.6,328
21.9,42.8,5.8,19.3,3.9,1.12,13.0,546
30.3,72.5,11.2,16.6,4.4,1.21,11.6,305
43.0,96.5,38.1,39.7,17.3,2.17,5.4,591
27.2,42.8,15.0,14.6,3.3,1.1,10.9,284
29.8,49.0,6.4,22.1,1.8,0.97,11.6,277
37.9,84.7,38.0,48.7,3.4,2.05,3.8,729
32.1,90.5,69.9,26.6,22.3,1.57,3.4,782
33.7,89.4,47.3,26.5,8.1,1.41,6.0,613
20.6,63.5,23.5,30.0,8.3,1.54,6.1,646
22.3,69.8,19.8,23.6,5.7,0.98,12.7,310
34.1,80.0,22.3,26.1,16.2,1.7,5.7,321
24.0,56.3,98.3,24.6,10.8,1.14,5.4,538
27.4,57.4,17.0,35.5,10.3,1.63,6.1,365
23.7,60.1,21.5,16.9,4.0,0.99,14.0,253
26.2,64.3,19.4,18.5,9.0,1.08,11.3,566
30.6,44.2,16.4,14.7,2.9,0.99,12.1,569
31.4,58.6,10.7,22.2,20.4,1.81,6.6,632
30.8,81.7,36.4,26.5,21.6,1.49,5.8,546
29.5,69.1,45.5,31.7,22.7,1.99,5.3,553
25.7,69.3,78.8,26.5,10.3,1.87,12.2,579
25.2,46.0,8.2,22.8,0.2,1.17,10.4,392
23.4,68.0,10.6,25.5,2.0,1.09,12.0,471
25.8,56.3,9.5,20.9,2.5,0.98,14.1,410
19.7,68.0,8.4,24.8,5.5,0.77,10.6,297
28.4,65.8,22.2,27.5,11.9,1.7,6.1,524
29.9,63.3,16.0,24.2,7.9,1.42,8.9,710
29.7,61.6,10.0,21.0,5.4,1.17,13.4,541
27.6,61.3,12.0,28.7,11.6,1.63,5.1,581
36.9,98.2,42.8,32.2,19.1,2.15,6.5,493
39.0,73.4,49.8,38.3,19.1,2.36,3.8,765
28.2,78.9,6.9,26.0,10.4,1.55,6.5,679
29.6,86.1,30.2,36.4,25.8,2.49,4.0,632
26.2,63.2,26.2,27.1,14.3,1.92,5.8,509
28.8,103.5,24.7,39.1,16.4,3.22,12.1,699
35.4,100.2,33.2,34.4,11.7,1.85,5.1,440
30.8,55.6,22.3,22.0,15.9,1.64,6.1,451
40.0,90.4,24.6,36.4,15.3,1.85,4.8,561
32.6,77.3,33.1,38.9,8.3,1.86,4.3,529
25.5,63.8,4.3,24.9,4.7,1.1,13.4,459
20.9,45.0,40.2,16.9,5.1,1.01,10.9,247
23.2,71.8,70.0,26.3,14.6,1.69,5.7,392
29.1,63.6,21.1,32.0,5.1,1.53,7.4,542
28.7,80.8,27.3,34.8,15.0,1.75,5.3,446
29.3,74.8,13.3,19.8,5.2,1.05,11.6,539
21.0,44.0,8.8,25.2,5.7,0.95,17.2,488
30.9,92.2,19.0,38.1,9.6,2.55,4.8,429
23.4,64.4,11.4,12.4,6.2,1.01,13.5,295
22.4,50.7,19.0,17.9,8.7,1.12,11.1,265
17.8,59.7,9.9,16.4,5.1,0.87,10.1,583
24.4,48.1,19.8,24.5,4.3,0.87,12.0,381
21.8,61.9,31.3,23.8,7.7,0.96,10.8,340
20.3,64.8,42.7,21.4,3.2,1.03,10.0,335
30.1,80.9,15.3,29.6,9.6,1.71,5.2,332
23.5,74.6,6.6,16.8,3.9,1.22,13.1,491
34.4,71.7,54.6,30.6,25.9,2.41,3.4,595
31.0,42.0,12.3,15.1,7.3,0.88,11.8,594
29.0,42.8,2.3,20.5,5.9,1.03,10.1,428
26.6,92.9,51.9,35.0,10.2,1.42,6.1,526
30.7,84.2,38.4,26.8,12.3,1.34,6.1,399
30.0,67.1,7.8,39.2,17.0,2.0,5.2,793
23.5,64.4,37.8,26.5,3.9,0.98,10.4,454
24.7,59.9,8.0,23.1,6.9,1.06,11.4,356
33.8,68.4,15.0,18.5,2.6,1.06,11.5,468
39.7,85.9,88.8,21.3,22.3,1.9,4.5,616
28.2,56.0,21.0,23.4,10.6,1.65,5.3,277
38.1,65.7,34.5,23.9,5.8,1.97,5.5,607
40.4,101.8,55.1,29.8,2.7,2.18,4.1,446
32.3,64.2,31.8,24.2,17.8,1.51,9.0,478
30.7,62.7,10.0,11.7,4.6,0.92,10.6,265
33.9,72.8,30.8,26.1,15.3,1.98,5.6,598
30.8,84.4,50.3,27.8,16.1,1.3,5.1,416
26.7,51.8,7.9,22.3,5.0,0.97,12.8,296
27.1,58.3,17.0,29.4,7.5,1.07,5.0,349
38.3,57.0,12.1,30.1,5.3,1.36,5.8,355
37.3,95.3,29.0,31.2,10.5,2.17,4.3,787
18.0,43.2,10.0,16.4,2.2,1.07,14.5,571
40.0,85.6,74.5,45.7,20.9,2.92,4.9,512
26.9,72.7,24.3,23.9,15.1,1.67,5.2,454
32.4,97.5,42.8,33.4,10.6,2.02,4.6,792
30.4,90.1,20.7,45.0,23.5,2.29,3.6,681
29.1,41.5,4.8,18.7,3.4,1.02,12.6,337
34.9,96.2,66.5,29.0,15.2,2.4,6.0,569
29.6,73.6,8.1,26.0,0.2,1.12,11.9,490
23.7,46.8,6.6,23.4,3.1,1.07,10.4,531
25.8,42.2,3.9,15.2,9.0,0.99,13.8,543
31.7,53.6,36.1,23.3,6.4,1.36,5.4,566
28.4,63.8,9.7,17.6,6.2,0.91,16.5,578
29.8,92.2,29.7,25.5,5.8,1.75,5.8,657
29.7,88.0,13.9,36.8,10.3,1.7,6.9,457
26.4,66.0,14.4,23.7,7.0,1.74,5.0,511
22.4,57.3,9.6,23.6,4.3,1.08,11.0,595
40.9,75.9,74.7,34.0,27.4,3.48,3.5,805
23.3,80.6,11.2,17.2,6.7,1.02,10.9,511
24.1,65.6,7.1,24.7,6.1,1.1,13.2,370
33.2,67.6,36.5,30.3,19.0,1.99,3.8,571
32.1,100.8,69.4,48.2,17.7,2.37,2.6,796
38.5,55.8,32.1,24.8,9.4,1.75,5.6,312
31.2,53.7,43.3,29.6,15.4,1.44,8.3,432
26.3,90.4,26.7,35.1,4.8,1.94,3.6,543
22.0,59.2,25.8,20.8,13.2,1.5,5.4,503
23.0,50.9,20.7,21.4,6.9,1.0,12.6,454
35.0,85.2,62.5,24.0,8.8,1.87,9.2,641
19.0,75.8,9.5,18.5,1.1,0.97,12.7,534
22.1,53.8,19.6,18.8,5.7,1.65,9.6,457
29.8,61.0,18.5,21.8,4.8,0.94,10.4,490
27.9,59.2,44.9,26.1,16.4,1.31,8.3,650
20.9,62.3,11.1,20.6,3.0,0.96,13.1,295
28.6,52.4,18.0,19.9,5.8,0.95,12.6,506
20.3,52.3,6.0,25.1,4.7,0.95,13.4,277
26.4,61.3,6.2,34.9,24.1,1.74,4.4,672
26.5,43.0,18.4,17.6,2.1,1.08,10.6,426
22.9,48.7,16.3,21.3,8.7,1.0,14.5,516
22.4,62.0,11.1,24.2,3.4,1.02,10.1,265
31.5,55.4,68.7,31.5,6.0,2.13,4.4,529
34.2,72.1,15.9,25.5,16.0,2.72,5.3,560
24.6,47.1,23.0,14.8,5.5,1.05,12.8,412
41.1,82.1,52.7,35.7,14.9,2.46,4.0,654
22.3,54.1,10.3,12.7,4.5,1.02,10.4,275
36.8,79.1,14.1,37.1,19.1,2.17,4.0,659
33.8,92.2,41.1,25.2,15.7,2.11,3.7,407
24.0,43.8,18.3,24.2,7.2,0.88,10.1,477
23.7,52.4,4.5,18.7,6.3,1.04,10.7,313
40.9,93.8,26.7,44.6,10.2,1.75,3.7,759
50.6,92.4,58.7,40.4,29.7,3.34,4.8,695
26.5,69.0,19.6,18.3,4.7,0.95,15.6,262
31.8,68.2,21.0,25.4,12.2,1.34,3.4,637
22.8,83.4,42.9,42.6,9.8,1.71,4.5,818
46.4,79.4,130.4,39.5,25.1,3.14,2.8,577
27.3,68.4,7.8,25.4,5.1,1.03,10.7,506
28.2,73.5,14.8,24.8,11.1,1.11,7.0,577
32.2,61.5,18.6,16.1,14.5,1.52,7.3,539
36.6,78.5,25.9,45.5,17.8,1.58,4.0,470
32.7,60.5,27.2,22.9,9.3,1.45,8.7,322
30.7,57.3,4.9,22.3,7.9,0.93,10.2,462
33.6,67.3,34.1,29.3,16.5,1.55,3.8,425
24.4,76.8,21.3,29.1,18.0,2.17,6.8,464
23.7,67.7,31.0,21.2,5.1,1.04,10.3,514
28.9,62.3,10.3,14.3,5.8,0.82,14.5,368
33.7,72.5,22.6,22.8,16.2,1.48,8.5,644
21.7,69.0,12.7,21.1,6.2,0.94,10.4,593
23.3,48.0,16.7,22.9,3.2,0.97,11.0,272
42.2,63.3,38.9,23.5,24.1,2.27,13.2,467
30.4,60.3,11.9,24.9,3.7,1.44,6.7,635
23.0,50.6,15.2,21.5,3.7,1.01,10.6,264
25.4,47.5,9.0,19.7,3.4,0.84,10.8,240
25.7,68.7,16.9,10.0,6.0,1.24,10.3,470
25.8,56.2,16.8,29.4,10.3,1.3,5.0,414
36.6,59.5,20.4,33.3,9.1,1.41,5.7,588
24.0,65.5,9.1,25.2,6.7,0.97,14.1,387
27.3,65.1,24.5,29.0,12.8,1.54,6.9,485
38.4,99.1,52.7,32.7,18.1,2.13,4.7,646
21.3,71.3,35.2,21.9,3.1,1.0,10.8,372
23.7,73.3,19.0,23.0,8.4,1.4,5.5,668
27.5,76.2,24.3,32.4,17.8,1.97,5.2,577
30.6,71.9,21.3,16.9,3.5,1.73,5.6,593
28.2,66.9,13.2,26.0,9.6,1.51,5.0,379
25.1,59.5,11.3,25.8,0.7,0.9,10.7,231
26.3,54.7,8.2,27.9,3.4,1.05,17.0,330
21.6,77.6,10.6,17.6,2.5,0.94,11.0,591
47.0,74.1,24.1,29.1,14.0,0.99,9.0,643
23.5,60.8,14.3,12.8,1.7,0.98,10.6,208
39.1,66.8,21.2,34.1,5.4,2.33,6.6,679
35.2,86.4,61.0,21.7,13.8,2.24,3.7,514
22.2,59.8,10.2,27.0,8.2,0.9,13.3,408
35.0,76.4,28.2,19.9,11.2,1.68,6.6,430
37.0,93.9,34.1,33.3,11.4,1.86,3.1,684
31.3,102.2,33.6,29.6,21.0,1.88,4.1,466
27.3,73.2,11.8,17.2,4.8,1.1,11.4,345
34.3,59.0,34.2,25.7,16.1,2.02,7.6,545
36.6,83.6,19.4,18.4,14.7,1.48,9.1,707
24.1,55.2,11.6,17.7,6.1,0.95,10.9,461
33.8,80.4,32.8,21.1,12.3,1.51,5.0,361
35.8,60.1,13.9,22.2,14.5,1.59,7.7,661
26.6,95.9,172.9,32.4,22.5,1.84,4.2,590
38.6,76.2,48.7,32.8,3.5,2.12,3.7,612
24.8,57.4,16.3,17.1,2.8,1.24,12.9,495
28.1,74.6,4.9,15.0,1.7,1.04,10.3,256
27.0,42.7,8.2,16.2,6.2,0.93,10.0,328
32.6,65.1,19.3,28.0,14.5,1.45,6.3,509
22.0,49.9,3.0,16.1,4.8,0.97,20.0,587
23.2,67.0,14.5,12.4,3.8,0.89,10.5,222
22.9,45.9,9.3,12.6,5.9,1.01,10.1,223
33.3,54.3,33.9,23.6,2.9,1.35,5.2,585
32.6,59.4,21.8,31.3,8.6,1.44,16.2,363
27.8,99.6,34.4,40.4,18.4,2.06,4.7,611
31.3,49.2,14.9,29.3,11.9,1.37,6.7,340
